bResult,blueTeamTag,redTeamTag,gamelength
1,G2,FNC,46
1,MSF,GIA,27
1,MSF,GIA,37
1,UOL,VIT,33
1,G2,ROC,36
1,H2K,SPY,30
1,MSF,ROC,33
1,SPY,VIT,41
1,SPY,VIT,28
1,GIA,FNC,38
1,FNC,GIA,41
1,H2K,UOL,33
1,UOL,H2K,42
1,MSF,G2,44
1,G2,MSF,43
1,VIT,OG,31
1,GIA,ROC,35
1,ROC,GIA,40
1,GIA,ROC,41
1,SPY,UOL,46
1,UOL,SPY,37
1,MSF,FNC,34
1,VIT,H2K,35
1,H2K,VIT,30
1,G2,GIA,45
1,SPY,OG,42
1,ROC,FNC,45
1,UOL,GIA,28
1,G2,H2K,44
1,H2K,G2,31
1,G2,H2K,46
1,MSF,SPY,39
1,MSF,SPY,35
1,FNC,VIT,31
1,VIT,FNC,40
1,FNC,VIT,41
1,H2K,ROC,48
1,G2,OG,26
1,G2,OG,34
1,G2,UOL,40
1,G2,UOL,41
1,FNC,SPY,27
1,SPY,FNC,44
1,MSF,VIT,33
1,H2K,GIA,38
1,SPY,ROC,38
1,FNC,OG,31
1,MSF,UOL,43
1,H2K,FNC,28
1,H2K,FNC,29
1,G2,VIT,34
1,SPY,GIA,31
1,MSF,OG,31
1,UOL,ROC,26
1,ROC,OG,55
1,G2,SPY,35
1,FNC,UOL,49
1,UOL,FNC,36
1,ROC,VIT,50
1,H2K,MSF,35
1,GIA,OG,29
1,OG,GIA,53
1,GIA,OG,36
1,FNC,ROC,43
1,ROC,FNC,38
1,G2,MSF,32
1,MSF,G2,37
1,ROC,GIA,40
1,SPY,OG,32
1,SPY,OG,34
1,SPY,VIT,36
1,G2,GIA,35
1,ROC,MSF,35
1,UOL,OG,31
1,SPY,UOL,35
1,UOL,SPY,30
1,FNC,G2,40
1,G2,FNC,31
1,H2K,OG,33
1,H2K,OG,33
1,MSF,GIA,38
1,G2,ROC,40
1,ROC,G2,41
1,ROC,G2,28
1,H2K,SPY,28
1,FNC,MSF,31
1,SPY,MSF,40
1,MSF,SPY,43
1,FNC,H2K,40
1,FNC,H2K,30
1,G2,FNC,47
1,UOL,MSF,42
1,MSF,UOL,50
1,UOL,MSF,27
1,FNC,MSF,36
1,FNC,MSF,27
1,FNC,MSF,30
1,G2,UOL,31
1,UOL,G2,40
1,H2K,SPY,45
1,FNC,MSF,42
1,FNC,MSF,24
1,ROC,G2,41
1,G2,ROC,36
1,UOL,VIT,30
1,H2K,MM,37
1,H2K,MM,28
1,FNC,NIP,34
1,MSF,NIP,29
1,SPY,VIT,36
1,SPY,VIT,28
1,UOL,MM,41
1,MSF,ROC,30
1,MSF,ROC,25
1,G2,NIP,38
1,H2K,UOL,39
1,UOL,H2K,27
1,UOL,H2K,33
1,VIT,MM,30
1,VIT,MM,36
1,ROC,FNC,34
1,MSF,G2,36
1,G2,MSF,25
1,MSF,G2,37
1,ROC,NIP,30
1,H2K,VIT,35
1,H2K,VIT,26
1,MSF,VIT,34
1,VIT,MSF,55
1,MSF,VIT,38
1,FNC,H2K,31
1,ROC,SPY,40
1,G2,UOL,28
1,H2K,NIP,31
1,FNC,MM,37
1,FNC,SPY,38
1,FNC,SPY,46
1,VIT,ROC,36
1,G2,MM,34
1,NIP,UOL,37
1,VIT,NIP,35
1,VIT,NIP,28
1,H2K,ROC,27
1,G2,SPY,24
1,MSF,UOL,29
1,UOL,MSF,40
1,ROC,MM,44
1,FNC,VIT,36
1,G2,H2K,39
1,H2K,G2,34
1,G2,H2K,32
1,ROC,UOL,36
1,ROC,UOL,35
1,MSF,MM,32
1,MSF,MM,32
1,SPY,NIP,33
1,UOL,FNC,49
1,FNC,UOL,28
1,VIT,G2,39
1,G2,VIT,31
1,MSF,SPY,30
1,SPY,MSF,43
1,VIT,MM,30
1,G2,NIP,33
1,G2,NIP,28
1,H2K,SPY,42
1,FNC,MSF,26
1,NIP,ROC,35
1,UOL,MM,34
1,MM,UOL,34
1,UOL,MM,35
1,SPY,MM,29
1,G2,MSF,39
1,H2K,VIT,32
1,H2K,VIT,26
1,FNC,ROC,38
1,UOL,SPY,41
1,NIP,FNC,47
1,H2K,MM,26
1,H2K,MM,37
1,ROC,MSF,30
1,FNC,G2,41
1,SPY,VIT,32
1,H2K,UOL,30
1,MSF,UOL,37
1,MSF,UOL,32
1,G2,SPY,45
1,SPY,G2,47
1,G2,SPY,53
1,FNC,MSF,35
1,MSF,FNC,36
1,G2,H2K,32
1,H2K,FNC,43
1,FNC,H2K,26
1,G2,MSF,39
1,G2,MSF,34
1,H2K,SPY,35
1,H2K,SPY,42
1,UOL,H2K,23
1,H2K,UOL,42
1,H2K,UOL,40
1,FNC,H2K,37
1,FNC,H2K,24
1,kt,ROX,45
1,LZ,SSG,34
1,SSG,LZ,35
1,SKT,JAG,40
1,MVP,bbq,40
1,bbq,MVP,30
1,AFs,SSG,31
1,SSG,AFs,43
1,AFs,SSG,36
1,ROX,KDM,39
1,kt,bbq,30
1,LZ,JAG,68
1,MVP,AFs,36
1,AFs,MVP,39
1,MVP,AFs,34
1,SKT,KDM,27
1,SKT,ROX,32
1,SSG,MVP,44
1,kt,LZ,37
1,bbq,JAG,38
1,LZ,KDM,32
1,kt,AFs,35
1,AFs,kt,41
1,kt,AFs,33
1,bbq,KDM,40
1,JAG,AFs,35
1,SSG,ROX,30
1,ROX,SSG,52
1,SSG,ROX,42
1,SKT,MVP,28
1,AFs,ROX,35
1,SSG,KDM,42
1,LZ,bbq,34
1,kt,JAG,45
1,MVP,KDM,39
1,KDM,MVP,32
1,MVP,KDM,38
1,AFs,SKT,46
1,kt,SSG,31
1,ROX,LZ,49
1,LZ,ROX,38
1,SKT,bbq,28
1,JAG,MVP,31
1,MVP,kt,36
1,LZ,SKT,50
1,SKT,LZ,35
1,KDM,JAG,40
1,JAG,KDM,45
1,KDM,JAG,50
1,bbq,AFs,34
1,SKT,SSG,40
1,MVP,ROX,33
1,LZ,AFs,33
1,kt,KDM,53
1,ROX,bbq,34
1,bbq,ROX,28
1,ROX,bbq,24
1,MVP,LZ,33
1,LZ,MVP,44
1,AFs,KDM,45
1,ROX,JAG,31
1,SSG,bbq,45
1,MVP,LZ,32
1,SSG,bbq,28
1,ROX,JAG,36
1,JAG,ROX,39
1,ROX,JAG,47
1,SKT,kt,36
1,kt,SKT,39
1,SKT,kt,49
1,AFs,KDM,33
1,KDM,AFs,28
1,AFs,KDM,34
1,SKT,JAG,40
1,MVP,bbq,27
1,SSG,AFs,49
1,AFs,SSG,32
1,KDM,ROX,44
1,ROX,KDM,36
1,kt,bbq,35
1,JAG,LZ,41
1,AFs,MVP,29
1,SKT,KDM,29
1,kt,ROX,26
1,SSG,LZ,30
1,LZ,bbq,27
1,JAG,kt,42
1,kt,JAG,36
1,SKT,AFs,30
1,AFs,SKT,44
1,SKT,AFs,28
1,MVP,KDM,41
1,LZ,ROX,31
1,ROX,LZ,33
1,LZ,ROX,21
1,SSG,kt,38
1,MVP,JAG,36
1,JAG,MVP,45
1,MVP,JAG,51
1,SKT,bbq,29
1,SSG,KDM,35
1,ROX,AFs,39
1,SSG,JAG,38
1,bbq,ROX,39
1,ROX,bbq,39
1,kt,MVP,47
1,MVP,kt,32
1,SKT,LZ,36
1,JAG,KDM,44
1,KDM,JAG,32
1,JAG,KDM,39
1,AFs,bbq,26
1,bbq,AFs,40
1,AFs,bbq,37
1,SSG,SKT,34
1,MVP,ROX,38
1,ROX,MVP,34
1,AFs,LZ,30
1,KDM,bbq,40
1,bbq,KDM,36
1,AFs,JAG,31
1,SSG,MVP,28
1,AFs,kt,40
1,kt,AFs,44
1,SSG,ROX,37
1,SKT,MVP,32
1,kt,LZ,33
1,JAG,bbq,29
1,bbq,JAG,59
1,JAG,bbq,32
1,AFs,MVP,30
1,kt,MVP,37
1,kt,MVP,42
1,kt,SSG,26
1,kt,SSG,31
1,MVP,JAG,40
1,LZ,kt,39
1,EEW,AFs,43
1,AFs,EEW,50
1,SSG,SKT,31
1,LZ,bbq,37
1,bbq,LZ,33
1,LZ,bbq,38
1,JAG,ROX,29
1,AFs,kt,41
1,kt,AFs,30
1,ROX,SSG,29
1,SSG,ROX,36
1,SKT,bbq,32
1,AFs,SSG,34
1,SSG,AFs,38
1,JAG,EEW,40
1,SKT,LZ,55
1,SSG,MVP,38
1,AFs,bbq,27
1,bbq,AFs,57
1,AFs,bbq,40
1,JAG,LZ,37
1,SKT,EEW,43
1,ROX,bbq,31
1,kt,MVP,28
1,kt,JAG,30
1,LZ,ROX,31
1,EEW,bbq,35
1,bbq,EEW,48
1,AFs,ROX,52
1,ROX,AFs,40
