bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Year
0,1,Sion,RekSai,Ahri,Graves,Janna,Renekton,JarvanIV,Kassadin,Sivir,Thresh,2015
0,1,Maokai,RekSai,Ahri,Graves,Janna,Irelia,JarvanIV,Leblanc,Sivir,Thresh,2015
1,0,Morgana,RekSai,Lulu,Sivir,Janna,DrMundo,Nunu,Zed,Corki,Braum,2015
0,1,Gnar,JarvanIV,Syndra,Graves,Morgana,Maokai,RekSai,Zed,Corki,Braum,2015
1,0,Fizz,RekSai,Leblanc,Graves,Nami,Maokai,JarvanIV,Ezreal,Corki,Janna,2015
1,0,Kennen,RekSai,Lissandra,Corki,Braum,Hecarim,Nidalee,Viktor,Graves,Morgana,2015
1,0,Maokai,RekSai,Lissandra,Sivir,Janna,Renekton,Vi,Ezreal,Graves,Morgana,2015
1,0,Maokai,JarvanIV,Ezreal,Kalista,Thresh,Hecarim,RekSai,Kassadin,Corki,Janna,2015
1,0,Maokai,RekSai,Kassadin,Graves,Veigar,Rumble,Rengar,Ezreal,Corki,Annie,2015
1,0,Maokai,Nidalee,Zed,Corki,Morgana,Gnar,JarvanIV,Leblanc,Kalista,Thresh,2015
1,0,Morgana,LeeSin,Kassadin,Graves,Leona,Irelia,RekSai,Leblanc,Corki,Annie,2015
0,1,Rumble,Nidalee,Ezreal,Tristana,Braum,Morgana,RekSai,Zed,Jinx,Janna,2015
1,0,Gragas,RekSai,Zed,Sivir,Morgana,Maokai,FiddleSticks,Ahri,Ezreal,Annie,2015
1,0,Rumble,Vi,Ahri,Sivir,Annie,Kennen,LeeSin,Leblanc,Corki,Leona,2015
0,1,Lissandra,Sejuani,Viktor,Graves,Janna,Hecarim,RekSai,Lulu,Jinx,Thresh,2015
0,1,Kennen,JarvanIV,Viktor,Corki,Leona,Lulu,RekSai,Zed,Sivir,Thresh,2015
1,0,Kennen,LeeSin,Karthus,Graves,Leona,Lulu,Vi,Zed,Corki,Braum,2015
0,1,Kennen,JarvanIV,Zed,Kalista,Thresh,Rumble,Vi,Leblanc,Graves,Janna,2015
1,0,Lissandra,Sejuani,Kennen,Graves,Morgana,JarvanIV,RekSai,Ahri,Corki,Annie,2015
1,0,Rumble,Nidalee,Lissandra,Sivir,Annie,Gragas,RekSai,Orianna,Lucian,Janna,2015
0,1,Kennen,JarvanIV,Lulu,Jinx,Braum,Maokai,Vi,Karthus,Graves,Leona,2015
1,0,Rumble,RekSai,Leblanc,Graves,Thresh,Maokai,JarvanIV,Viktor,Corki,Leona,2015
1,0,Kennen,Vi,Zed,Kalista,Thresh,Irelia,LeeSin,Ahri,Graves,Janna,2015
0,1,Irelia,Gragas,Chogath,Lucian,Leona,Rumble,Nidalee,Yasuo,Graves,Janna,2015
0,1,DrMundo,RekSai,Cassiopeia,Kalista,Janna,Maokai,Vi,Lissandra,Lucian,Nautilus,2015
0,1,DrMundo,RekSai,Zed,Lucian,Lulu,Maokai,Nunu,Urgot,Corki,Thresh,2015
1,0,Sion,Vi,Ahri,Kalista,Thresh,Hecarim,Zac,Leblanc,Tristana,Janna,2015
0,1,Lulu,Sejuani,Karthus,Lucian,Janna,Gragas,Vi,Orianna,Graves,Morgana,2015
0,1,Sion,Zac,Xerath,Tristana,Janna,Hecarim,Sejuani,Fizz,Sivir,Morgana,2015
1,0,Lulu,Sejuani,Zed,Corki,Thresh,Kennen,RekSai,Ahri,Jinx,Janna,2015
1,0,Vladimir,Sejuani,Lulu,Graves,Thresh,Maokai,Nunu,Corki,Lucian,Nautilus,2015
1,0,Hecarim,Nidalee,Yasuo,Graves,Thresh,Lulu,Nunu,Zed,Twitch,Janna,2015
0,1,Lissandra,Gragas,Yasuo,KogMaw,Alistar,Lulu,Nunu,Ahri,Vayne,Janna,2015
0,1,Irelia,Nunu,Rumble,Caitlyn,Morgana,Kennen,Sejuani,Zed,Lucian,Nautilus,2015
0,1,Maokai,RekSai,Orianna,Graves,Thresh,Rumble,Sejuani,Corki,Sivir,Lulu,2015
1,0,Sion,Nidalee,Ezreal,Caitlyn,Nautilus,Renekton,RekSai,Vladimir,Graves,Annie,2015
0,1,Sion,RekSai,Cassiopeia,Twitch,Nautilus,Lulu,Nidalee,Urgot,KogMaw,Janna,2015
0,1,Rumble,RekSai,Leblanc,Graves,Janna,Sion,Zac,Katarina,Lucian,Annie,2015
1,0,Sion,LeeSin,Chogath,Sivir,Lulu,Lissandra,Gragas,Urgot,Varus,Janna,2015
1,0,Maokai,Vi,Lissandra,Lucian,Nautilus,Kennen,RekSai,Chogath,Graves,Leona,2015
0,1,Kennen,Zac,Diana,Sivir,Thresh,Hecarim,Sejuani,Lissandra,Kalista,Annie,2015
