bResult,rResult,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,Year
1,0,Maokai,RekSai,Zed,Lucian,Nami,Lulu,Nunu,Ahri,Jinx,Leona,2015
0,1,Maokai,RekSai,TwistedFate,Corki,Annie,Trundle,LeeSin,Leblanc,Jinx,Thresh,2015
0,1,Fizz,Nidalee,Chogath,Graves,Annie,Maokai,Vi,Ahri,Jinx,Thresh,2015
0,1,Maokai,Nunu,Ahri,Graves,Annie,Hecarim,Sejuani,Diana,Sivir,Leona,2015
1,0,Chogath,RekSai,Leblanc,Lucian,Janna,Irelia,LeeSin,Ahri,Sivir,Thresh,2015
0,1,Diana,Vi,Ahri,Graves,Thresh,Maokai,LeeSin,Katarina,Caitlyn,Nami,2015
1,0,Maokai,Gragas,Ahri,Corki,Leona,Irelia,Nidalee,Leblanc,Jinx,Janna,2015
1,0,Sion,Nidalee,Leblanc,Sivir,Thresh,Yorick,Nunu,Syndra,Graves,Annie,2015
0,1,Irelia,Sejuani,Cassiopeia,Graves,Braum,Hecarim,Vi,Ahri,Sivir,Thresh,2015
0,1,Maokai,Nunu,KogMaw,Kalista,Annie,Gnar,Gragas,Leblanc,Ashe,Alistar,2015
0,1,Gnar,Sejuani,Leblanc,Ashe,Thresh,Rumble,Evelynn,Morgana,Kalista,Alistar,2015
0,1,Gnar,Evelynn,Azir,Lucian,Thresh,Maokai,Sejuani,Vladimir,Urgot,Alistar,2015
1,0,Gnar,RekSai,Fizz,Kalista,Morgana,Hecarim,Gragas,Cassiopeia,Lucian,Lulu,2015
1,0,Maokai,Evelynn,Azir,Draven,Morgana,Gnar,LeeSin,Kassadin,Lucian,Alistar,2015
1,0,Rumble,Gragas,Leblanc,Vayne,Annie,Maokai,Evelynn,Kassadin,Sivir,Janna,2015
1,0,Gnar,JarvanIV,Xerath,Kalista,Morgana,Rumble,Gragas,Azir,Urgot,Nautilus,2015
1,0,Maokai,LeeSin,Azir,KogMaw,Alistar,Jax,Volibear,Viktor,Ezreal,Thresh,2015
1,0,Gnar,RekSai,Cassiopeia,Ashe,Alistar,Maokai,Nidalee,Azir,Kalista,Bard,2015
0,1,Rumble,RekSai,Viktor,Sivir,Nautilus,Maokai,Gragas,KogMaw,Urgot,Annie,2015
0,1,Hecarim,Sejuani,Viktor,KogMaw,Alistar,Maokai,Evelynn,Diana,Sivir,Morgana,2015
1,0,Ryze,Evelynn,Azir,Ezreal,Nautilus,Maokai,Gragas,Irelia,Urgot,Morgana,2015
1,0,Rumble,RekSai,Leblanc,Kalista,Thresh,Gragas,Volibear,Fizz,Ashe,Lulu,2015
0,1,Maokai,Evelynn,Azir,Kalista,Nautilus,Rumble,Sejuani,Vladimir,Urgot,Thresh,2015
1,0,Ryze,Gragas,Cassiopeia,Sivir,Morgana,Maokai,Evelynn,Kassadin,Lucian,Bard,2015
0,1,Ryze,Gragas,Ahri,Sivir,Alistar,Chogath,RekSai,Azir,Ezreal,Morgana,2015
1,0,Jax,Evelynn,KogMaw,Ezreal,Morgana,Rumble,Sejuani,Zed,Sivir,Alistar,2015
1,0,Nocturne,Gragas,KogMaw,Sivir,Annie,Maokai,RekSai,Leblanc,Lucian,Thresh,2015
1,0,Rumble,RekSai,Orianna,Sivir,Thresh,Gnar,Gragas,Kassadin,Lucian,Janna,2015
1,0,Hecarim,Gragas,Vladimir,Kalista,Thresh,Maokai,Evelynn,Azir,Ashe,Morgana,2015
1,0,Fizz,Gragas,Orianna,Sivir,Nautilus,Ryze,RekSai,Cassiopeia,Kalista,Thresh,2015
0,1,Rumble,LeeSin,Azir,KogMaw,Alistar,Jax,Evelynn,Varus,Ezreal,Morgana,2015
0,1,DrMundo,RekSai,Viktor,Vayne,Janna,Rumble,Gragas,TwistedFate,Sivir,Annie,2015
1,0,Hecarim,RekSai,Azir,Kalista,Morgana,Fizz,Gragas,Ekko,Vayne,Bard,2015
0,1,Rumble,Ekko,KogMaw,Lucian,Alistar,Gragas,RekSai,Azir,Corki,Nautilus,2015
1,0,Ekko,RekSai,Leblanc,Sivir,Leona,Renekton,Gragas,Lucian,Lulu,Nautilus,2015
1,0,Rumble,LeeSin,Azir,Sivir,Nautilus,Fizz,Evelynn,Vladimir,Lucian,Alistar,2015
0,1,Hecarim,Gragas,Ekko,Ashe,Thresh,Vladimir,RekSai,Azir,Kalista,Morgana,2015
1,0,Hecarim,RekSai,Lulu,Corki,Taric,Shyvana,Gragas,Vladimir,Kalista,Alistar,2015
0,1,Maokai,Ekko,Orianna,Sivir,Annie,Rumble,Gragas,Lulu,Jinx,Thresh,2015
0,1,Rumble,RekSai,Diana,Kalista,Alistar,Fizz,Nidalee,Lulu,Corki,Bard,2015
1,0,Hecarim,Gragas,Vladimir,Sivir,Alistar,Fizz,RekSai,Lulu,Corki,Bard,2015
0,1,Hecarim,Gragas,Azir,Sivir,Annie,Ekko,Olaf,Viktor,Kalista,Janna,2015
1,0,Gnar,Ekko,Cassiopeia,Caitlyn,Lulu,Shen,LeeSin,Orianna,Kalista,Alistar,2015
0,1,Ryze,Ekko,Jayce,Caitlyn,Alistar,Gnar,RekSai,Lulu,Jinx,Thresh,2015
1,0,Shen,LeeSin,Cassiopeia,Vayne,Lulu,Gnar,Nidalee,Viktor,Sivir,Alistar,2015
1,0,Gnar,Gragas,Fizz,Sivir,Alistar,Ekko,Evelynn,Ezreal,Vayne,Thresh,2015
0,1,Vladimir,Ekko,Jayce,Caitlyn,Morgana,Lulu,Olaf,Viktor,Sivir,Alistar,2015
0,1,Hecarim,RekSai,Lulu,Lucian,Bard,Shen,Nidalee,Orianna,Sivir,Alistar,2015
1,0,Fizz,Nunu,Vladimir,Sivir,Annie,Hecarim,RekSai,Azir,Corki,Morgana,2015
1,0,Ekko,Gragas,Varus,Kalista,Janna,Maokai,RekSai,Cassiopeia,Sivir,Alistar,2015
0,1,Shen,LeeSin,Syndra,Jinx,Morgana,Shyvana,MonkeyKing,KogMaw,Ezreal,Janna,2015
1,0,Lulu,RekSai,Vladimir,Kalista,Alistar,Hecarim,Nidalee,Ahri,Corki,Taric,2015
1,0,Ryze,Olaf,Jayce,Sivir,Janna,Rumble,RekSai,Varus,Corki,Alistar,2015
1,0,Gnar,RekSai,KogMaw,Kalista,Alistar,Shen,Gragas,Ekko,Sivir,Morgana,2015
1,0,Ekko,Gragas,Jayce,Kalista,Janna,Hecarim,LeeSin,Azir,Sivir,Annie,2015
1,0,Ekko,RekSai,Varus,Sivir,Janna,Maokai,Gragas,Cassiopeia,Jinx,Alistar,2015
0,1,Lulu,Rengar,Orianna,Draven,Alistar,Ekko,Gragas,Varus,Corki,Janna,2015
0,1,Shyvana,RekSai,Orianna,Sivir,Thresh,Gnar,Gragas,Azir,Corki,Alistar,2015
0,1,Ryze,RekSai,Jayce,Corki,Janna,Gnar,Gragas,Azir,Caitlyn,Lulu,2015
1,0,Fizz,Gragas,Jayce,Sivir,Janna,Maokai,LeeSin,Varus,Corki,Morgana,2015
1,0,Maokai,Gragas,Varus,Sivir,Nautilus,Shen,Ekko,Cassiopeia,Tristana,Morgana,2015
0,1,Shen,Gragas,Ezreal,Corki,Alistar,Lulu,RekSai,Azir,Kalista,Janna,2015
1,0,Ryze,RekSai,Varus,Corki,Braum,Ekko,LeeSin,Jayce,Vayne,Alistar,2015
0,1,Hecarim,Ekko,Vladimir,Corki,Nautilus,Gnar,Gragas,Orianna,Jinx,Thresh,2015
0,1,Shen,RekSai,Jayce,Kalista,Nautilus,Ryze,Gragas,Ezreal,Urgot,Janna,2015
1,0,Shen,Gragas,Jayce,Ezreal,Alistar,Maokai,RekSai,Azir,Corki,Nautilus,2015
1,0,Rumble,RekSai,Viktor,Kalista,Thresh,Shen,Vi,Azir,Sivir,Alistar,2015
0,1,Gnar,RekSai,Vladimir,KogMaw,Alistar,Rumble,Ekko,Varus,Corki,Thresh,2015
1,0,Rumble,Gragas,Jayce,Jinx,Thresh,Gnar,RekSai,Orianna,Corki,Braum,2015
0,1,Lulu,Gragas,Viktor,Graves,Nautilus,Shen,LeeSin,KogMaw,Corki,Alistar,2015
0,1,Ryze,Ekko,Jayce,Graves,Annie,Nautilus,Evelynn,TwistedFate,Sivir,Thresh,2015
1,0,Ryze,RekSai,Diana,Sivir,Nautilus,Rumble,Gragas,Yasuo,Tristana,Janna,2015
0,1,Gnar,Gragas,Viktor,Lucian,Shen,Rumble,Rengar,Jayce,Corki,Alistar,2015
0,1,Nautilus,Ekko,Viktor,Ezreal,Lulu,Yasuo,Gragas,Orianna,Corki,Alistar,2015
1,0,Maokai,LeeSin,Viktor,Kalista,Thresh,Rumble,Olaf,Jayce,Sivir,Annie,2015
0,1,Ryze,Gragas,Azir,Graves,Alistar,Galio,RekSai,Varus,Jinx,Morgana,2015
1,0,Shen,Elise,Ezreal,Sivir,Alistar,Nautilus,Evelynn,Ryze,Twitch,Thresh,2015
1,0,Lulu,Nunu,Viktor,Kalista,Janna,Ryze,Gragas,TwistedFate,Corki,Nautilus,2015
1,0,Nautilus,Gragas,Irelia,Sivir,Lulu,Shen,RekSai,Viktor,Corki,Alistar,2015
0,1,Ryze,RekSai,Jayce,Jinx,Nautilus,Shen,Gragas,Ahri,Kalista,Alistar,2015
0,1,Shen,LeeSin,Azir,Kalista,Morgana,Rumble,RekSai,Varus,Corki,Thresh,2015
0,1,Rumble,LeeSin,Ezreal,Jinx,Thresh,Gnar,Nidalee,Jayce,Corki,Shen,2015
1,0,Shen,Nidalee,Jayce,Lucian,Alistar,Nautilus,RekSai,Viktor,Corki,Braum,2015
0,1,Rumble,Gragas,Varus,Caitlyn,Janna,Riven,RekSai,TwistedFate,Corki,Alistar,2015
0,1,Shyvana,Gragas,Varus,Corki,Alistar,Maokai,RekSai,Viktor,KogMaw,Nautilus,2015
0,1,Shen,RekSai,Viktor,Corki,Alistar,Rumble,Elise,Irelia,Caitlyn,Thresh,2015
1,0,Rumble,Gragas,Varus,Corki,Thresh,Gnar,LeeSin,Viktor,KogMaw,Shen,2015
0,1,Shen,Nidalee,Varus,Corki,Janna,JarvanIV,Gragas,Viktor,Tristana,Alistar,2015
1,0,Maokai,JarvanIV,Orianna,Corki,Alistar,Gangplank,RekSai,Ahri,Lucian,Gragas,2015
1,0,Shen,Nidalee,Irelia,Kalista,Morgana,Rumble,Gragas,Azir,Sivir,Alistar,2015
0,1,Jax,RekSai,Viktor,Sivir,Thresh,Maokai,Gragas,Syndra,Graves,Annie,2015
0,1,Maokai,Gragas,Jayce,Corki,Lulu,Fizz,RekSai,TwistedFate,Tristana,Trundle,2015
0,1,Fizz,Gragas,TwistedFate,Kalista,Thresh,Lulu,RekSai,Viktor,Corki,Shen,2015
1,0,Rumble,RekSai,KogMaw,Sivir,Thresh,Kennen,Gragas,Varus,Corki,Alistar,2015
0,1,Shen,Elise,Viktor,Sivir,Thresh,Ryze,Gragas,Varus,Ezreal,Alistar,2015
0,1,Fizz,RekSai,Jayce,Corki,Morgana,Rumble,Gragas,Ahri,Tristana,Alistar,2015
1,0,TahmKench,Gragas,Irelia,Corki,Nautilus,Rumble,RekSai,Varus,Kalista,Alistar,2015
0,1,Fizz,RekSai,TwistedFate,Sivir,Shen,Maokai,Nidalee,Yasuo,Kalista,Alistar,2015
1,0,Ryze,Gragas,Varus,Corki,Trundle,Poppy,Rengar,KogMaw,Sivir,Alistar,2015
0,1,Galio,RekSai,Varus,Kalista,Bard,Rumble,Gragas,Yasuo,Corki,Thresh,2015
1,0,Maokai,Sejuani,Ahri,Jinx,Thresh,Lulu,Gragas,Orianna,KogMaw,Nami,2015
0,1,Hecarim,RekSai,Ahri,Kalista,Annie,Maokai,Gragas,Diana,KogMaw,Lulu,2015
1,0,Maokai,Sejuani,Zed,Sivir,Thresh,Hecarim,Vi,Ahri,Kalista,Annie,2015
1,0,Maokai,RekSai,Chogath,Urgot,Janna,Hecarim,Nautilus,KogMaw,Jinx,Morgana,2015
1,0,Sion,Udyr,Orianna,Jinx,Morgana,Maokai,RekSai,Chogath,Urgot,Janna,2015
1,0,Sion,Udyr,KogMaw,Jinx,Morgana,Maokai,RekSai,Ahri,Kalista,Nami,2015
1,0,Maokai,Shaco,Syndra,Sivir,Thresh,Hecarim,Nidalee,Ezreal,Jinx,Nautilus,2015
0,1,LeeSin,Olaf,Chogath,Kalista,Thresh,Shen,Gragas,Diana,Sivir,Annie,2015
0,1,Shen,Gragas,Cassiopeia,Jinx,Thresh,LeeSin,Nunu,Leblanc,Lucian,Janna,2015
0,1,LeeSin,Nunu,Leblanc,Lucian,Thresh,Sion,Gragas,Ahri,Sivir,Janna,2015
0,1,Sion,Gragas,Diana,KogMaw,Annie,Vladimir,RekSai,Zed,Jinx,Thresh,2015
1,0,Vladimir,RekSai,Chogath,Ezreal,Thresh,Diana,Gragas,Zed,Jinx,Janna,2015
0,1,Maokai,RekSai,Cassiopeia,Tristana,Nami,Sion,Gragas,KogMaw,Jinx,Morgana,2015
1,0,Morgana,LeeSin,Zed,Caitlyn,Annie,Shyvana,Gragas,Leblanc,Jinx,Thresh,2015
1,0,Sion,Udyr,Orianna,Jinx,Morgana,Shyvana,Gragas,Chogath,Tristana,Nami,2015
1,0,Shyvana,LeeSin,Orianna,Caitlyn,Annie,Sion,Udyr,KogMaw,Jinx,Thresh,2015
0,1,Shyvana,RekSai,Zed,Corki,Lulu,Maokai,Gnar,Orianna,Caitlyn,Annie,2015
0,1,Maokai,Nidalee,Leblanc,Sivir,Lulu,Shyvana,RekSai,Kassadin,Caitlyn,Janna,2015
0,1,Hecarim,RekSai,Lulu,Kalista,Annie,Shyvana,LeeSin,Orianna,Vayne,Janna,2015
1,0,Rumble,Sejuani,Zed,Sivir,Janna,Shyvana,RekSai,Vladimir,Lucian,Nami,2015
1,0,Sion,Gragas,Kassadin,Sivir,Thresh,Maokai,LeeSin,Orianna,Lucian,Janna,2015
1,0,Hecarim,Sejuani,Ahri,Sivir,Janna,Shyvana,LeeSin,Kassadin,Jinx,Morgana,2015
0,1,Vladimir,RekSai,Kassadin,Kalista,Thresh,Maokai,Gragas,Varus,Sivir,Braum,2015
0,1,Sion,Gragas,Ziggs,Jinx,Thresh,Rumble,RekSai,TwistedFate,Sivir,Nautilus,2015
1,0,Hecarim,Gragas,Ahri,Lucian,Nautilus,Irelia,Udyr,Syndra,Sivir,Thresh,2015
1,0,Maokai,Sejuani,Orianna,Sivir,Thresh,Shyvana,Gragas,Kassadin,Jinx,Janna,2015
1,0,Rumble,Gragas,Ahri,Sivir,Nautilus,Maokai,Sejuani,Orianna,Lucian,Braum,2015
1,0,Shen,LeeSin,Ahri,Tristana,Thresh,Trundle,Nidalee,Viktor,Corki,Janna,2015
1,0,Fizz,LeeSin,Orianna,Sivir,Alistar,Shen,Gragas,Viktor,Vayne,Braum,2015
0,1,Trundle,Evelynn,TwistedFate,Sivir,Braum,Fizz,Elise,Karthus,Tristana,Alistar,2015
1,0,Nautilus,RekSai,Viktor,Sivir,Annie,Rumble,Elise,Anivia,KogMaw,Alistar,2015
1,0,Nautilus,RekSai,Varus,Sivir,Morgana,Maokai,Elise,Viktor,KogMaw,Alistar,2015
1,0,Rumble,Elise,Corki,Kalista,Thresh,Maokai,RekSai,Viktor,Sivir,Alistar,2015
0,1,Gnar,Elise,Orianna,Sivir,Annie,Maokai,Nidalee,Viktor,Kalista,Alistar,2015
0,1,Maokai,Elise,Corki,KogMaw,Braum,Gnar,Nidalee,Orianna,Varus,Alistar,2015
0,1,Olaf,LeeSin,Lulu,Corki,Nautilus,Shen,Gragas,Ahri,KogMaw,Alistar,2015
1,0,Lulu,RekSai,Ahri,Kalista,Janna,Shen,Gragas,Orianna,Tristana,Nautilus,2015
1,0,Maokai,LeeSin,Fizz,Corki,Shen,Rumble,Elise,Ahri,KogMaw,Alistar,2015
0,1,Maokai,LeeSin,Yasuo,Jinx,Thresh,Gnar,Elise,Fizz,Corki,Braum,2015
1,0,Riven,Elise,Azir,Sivir,Shen,Nautilus,RekSai,KogMaw,Lucian,Alistar,2015
1,0,Rumble,Olaf,Azir,Sivir,Alistar,Shen,Elise,Ezreal,Lucian,Braum,2015
1,0,Rumble,Olaf,Lulu,Sivir,Alistar,Shen,Elise,Kayle,Lucian,Braum,2015
1,0,Rumble,LeeSin,Ahri,Tristana,Thresh,Nautilus,RekSai,Syndra,Corki,Morgana,2015
0,1,Gangplank,Evelynn,Orianna,Corki,Shen,Gnar,Elise,Ahri,Tristana,Thresh,2015
1,0,Shen,LeeSin,Fizz,Sivir,Thresh,Nautilus,Nidalee,Kayle,Tristana,Braum,2015
0,1,Lulu,Elise,Viktor,Tristana,Alistar,Gangplank,Gragas,Varus,Corki,Braum,2015
0,1,Olaf,Gragas,Lulu,Sivir,Alistar,Gangplank,Elise,Orianna,Tristana,Janna,2015
1,0,Fizz,Elise,Lulu,Tristana,Shen,Hecarim,Gragas,Azir,Corki,Thresh,2015
1,0,Fizz,Elise,Lulu,Tristana,Braum,Gangplank,Nidalee,Viktor,Corki,TahmKench,2015
1,0,Rumble,Olaf,Lulu,Corki,Annie,Gangplank,Gragas,Azir,Tristana,Janna,2015
0,1,Trundle,Gragas,Lulu,Tristana,Thresh,Fizz,Ekko,Azir,Sivir,Shen,2015
0,1,Olaf,RekSai,Diana,Sivir,Alistar,Gangplank,Gragas,Fizz,Corki,Shen,2015
0,1,Maokai,Elise,Ezreal,Kalista,Alistar,Gangplank,Gragas,Azir,Sivir,Annie,2015
1,0,Gangplank,Elise,Vladimir,Vayne,Braum,Hecarim,Gragas,Ahri,Sivir,Alistar,2015
1,0,Gangplank,Gragas,Yasuo,Corki,Braum,Shen,Ekko,Viktor,Sivir,Alistar,2015
0,1,Gnar,Elise,Varus,Corki,Thresh,Maokai,Gragas,Viktor,Sivir,Braum,2015
0,1,Hecarim,Elise,Azir,KogMaw,Thresh,Gangplank,Gragas,Viktor,Corki,Braum,2015
1,0,Maokai,Elise,Viktor,Sivir,Braum,Nautilus,Gragas,Diana,Kalista,Thresh,2015
0,1,Maokai,Gragas,Viktor,Sivir,Alistar,Rumble,Elise,Azir,Tristana,Thresh,2015
1,0,Maokai,Elise,KogMaw,Corki,Braum,Gnar,Gragas,Viktor,Tristana,Annie,2015
0,1,Gangplank,LeeSin,Azir,Tristana,Thresh,Fizz,Elise,Varus,Corki,Annie,2015
1,0,Olaf,Zac,Leblanc,Lucian,Poppy,Lissandra,LeeSin,Orianna,Ezreal,Trundle,2016
0,1,Fiora,Elise,Ryze,Corki,Thresh,TahmKench,Graves,Ahri,Lucian,Trundle,2016
1,0,Shen,Graves,Ahri,Corki,Trundle,Kennen,RekSai,Ryze,Lucian,Braum,2016
0,1,Ryze,RekSai,Varus,Lucian,Poppy,TahmKench,Elise,Zed,Ezreal,Alistar,2016
0,1,Kennen,Elise,Lulu,Tristana,Thresh,Zac,RekSai,Ryze,Corki,Taric,2016
0,1,Shen,Kindred,Velkoz,Corki,Trundle,Ryze,Elise,Zed,Ezreal,Thresh,2016
0,1,Lissandra,Elise,Zed,Lucian,Braum,Fiora,LeeSin,Viktor,Corki,Alistar,2016
1,0,Fiora,Elise,Ryze,MissFortune,Morgana,Olaf,Zac,Leblanc,Lucian,Poppy,2016
1,0,Lissandra,LeeSin,Leblanc,Corki,Poppy,Ryze,Elise,Kassadin,Lucian,Braum,2016
1,0,TahmKench,LeeSin,Lulu,Kalista,Braum,DrMundo,Kindred,Ryze,Lucian,Alistar,2016
0,1,Lissandra,LeeSin,Ahri,Corki,Braum,Shen,Elise,Leblanc,Kalista,Thresh,2016
0,1,Zac,RekSai,Ryze,Ezreal,Trundle,Gnar,Nidalee,Lux,Kalista,Alistar,2016
1,0,TahmKench,RekSai,Cassiopeia,Kalista,Alistar,Shen,LeeSin,Ezreal,Corki,Trundle,2016
0,1,TahmKench,Elise,TwistedFate,Corki,Alistar,Graves,LeeSin,Ahri,Kalista,Morgana,2016
1,0,Gnar,Kindred,Lissandra,Kalista,Alistar,Fiora,Elise,Lulu,Corki,Morgana,2016
1,0,Graves,LeeSin,Ahri,Kalista,Thresh,Shen,Elise,Syndra,Kindred,Alistar,2016
1,0,TahmKench,Elise,Morgana,Kalista,Thresh,Shen,Graves,Viktor,Ezreal,Trundle,2016
0,1,Poppy,Graves,Ahri,Corki,Alistar,Ryze,RekSai,Zed,Kalista,Thresh,2016
1,0,TahmKench,Graves,Ahri,Ezreal,Morgana,Gnar,RekSai,Leblanc,Kalista,Alistar,2016
0,1,Lulu,Udyr,Zed,Ezreal,Braum,Shen,Graves,Lissandra,Lucian,Alistar,2016
0,1,Lulu,LeeSin,Ahri,Lucian,Alistar,Fiora,Graves,Leblanc,Corki,Morgana,2016
1,0,Quinn,RekSai,Lulu,Lucian,Alistar,Graves,Elise,TwistedFate,Vayne,Poppy,2016
1,0,Fiora,Nidalee,Corki,Lucian,Braum,Malphite,Graves,Lissandra,Ezreal,Trundle,2016
1,0,Kennen,RekSai,Viktor,Kalista,Thresh,Fiora,Elise,Lulu,Lucian,Janna,2016
1,0,Gangplank,Graves,Lissandra,Caitlyn,Alistar,Olaf,RekSai,Lulu,MissFortune,Morgana,2016
1,0,Poppy,LeeSin,Lulu,Lucian,Alistar,Fiora,RekSai,Viktor,Corki,Zilean,2016
1,0,Kennen,Graves,Gangplank,MissFortune,Thresh,Lissandra,LeeSin,Ahri,Kalista,Morgana,2016
0,1,Fiora,RekSai,Lulu,Ezreal,Alistar,Poppy,Nidalee,Corki,Lucian,Braum,2016
1,0,Shen,Nidalee,Corki,Lucian,Braum,Ryze,Elise,Lux,Ezreal,Thresh,2016
0,1,Quinn,Graves,Lissandra,Kalista,Alistar,Poppy,Elise,Jayce,Corki,Trundle,2016
0,1,Gangplank,Nidalee,Viktor,MissFortune,Thresh,Lucian,Elise,Ahri,Corki,TahmKench,2016
0,1,Fiora,Graves,Ahri,Caitlyn,Braum,Malphite,Quinn,Leblanc,Lucian,Janna,2016
1,0,Malphite,Graves,Ahri,Kalista,Braum,TahmKench,Elise,Corki,Ezreal,Janna,2016
0,1,Maokai,LeeSin,Lulu,Kalista,Braum,Gangplank,Kindred,Viktor,Ezreal,Alistar,2016
1,0,TahmKench,Elise,Corki,Lucian,Janna,Poppy,Graves,Ahri,Ezreal,Bard,2016
1,0,Poppy,Graves,Viktor,Ezreal,Braum,Quinn,RekSai,Lulu,Lucian,Janna,2016
0,1,Fiora,LeeSin,Morgana,Lucian,TahmKench,Poppy,Elise,Viktor,Ezreal,Janna,2016
1,0,Poppy,RekSai,Corki,Lucian,Braum,Fiora,Elise,Ahri,Jinx,Thresh,2016
1,0,Malphite,Graves,Ahri,MissFortune,Alistar,Fiora,Elise,Azir,Lucian,Morgana,2016
0,1,Fiora,Kindred,Ryze,Lucian,Braum,Malphite,Quinn,Lulu,Caitlyn,Janna,2016
0,1,Ryze,RekSai,Ahri,Lucian,Braum,Fiora,Kindred,Viktor,Corki,TahmKench,2016
1,0,Nautilus,Nidalee,Ahri,Lucian,Thresh,Malphite,LeeSin,Corki,Ezreal,Braum,2016
1,0,Gangplank,Nidalee,Ahri,Tristana,Poppy,Quinn,RekSai,Leblanc,Corki,Braum,2016
0,1,Malphite,Nidalee,Viktor,Kalista,Alistar,Fiora,LeeSin,Gangplank,Corki,Thresh,2016
0,1,Quinn,RekSai,Morgana,Lucian,Alistar,Malphite,Kindred,Viktor,Kalista,Braum,2016
0,1,Malphite,RekSai,Ahri,Lucian,Braum,Graves,Nidalee,Zilean,Corki,Bard,2016
1,0,Poppy,Elise,Viktor,Corki,Alistar,Nautilus,Kindred,Ahri,Ezreal,Braum,2016
0,1,Quinn,LeeSin,Corki,Caitlyn,Poppy,Malphite,Nidalee,Gangplank,Ezreal,Braum,2016
1,0,Poppy,Elise,Viktor,Lucian,Janna,Trundle,Kindred,Lulu,Corki,Braum,2016
1,0,Fiora,Elise,Corki,Lucian,TahmKench,Maokai,Nidalee,Ahri,Ezreal,Alistar,2016
0,1,Poppy,Elise,Morgana,Lucian,Janna,Fiora,Gragas,Varus,Corki,Alistar,2016
1,0,Malphite,Gragas,Corki,KogMaw,Soraka,Nautilus,Elise,Lissandra,Kalista,Alistar,2016
1,0,Poppy,Elise,Viktor,Lucian,Thresh,Trundle,Gragas,Lux,KogMaw,Braum,2016
1,0,Maokai,Nidalee,Lissandra,KogMaw,Alistar,Nautilus,Rumble,Ahri,Lucian,Trundle,2016
1,0,Graves,Nidalee,Zilean,Corki,Bard,Malphite,Elise,Lissandra,KogMaw,Thresh,2016
1,0,Rammus,Elise,Gangplank,Lucian,Bard,Graves,Nidalee,Azir,Corki,Braum,2016
1,0,Lulu,LeeSin,Quinn,KogMaw,TahmKench,Malphite,Gragas,Viktor,Lucian,Thresh,2016
0,1,Gangplank,Nidalee,Ahri,Corki,TahmKench,Nautilus,LeeSin,Leblanc,Lucian,Alistar,2016
1,0,Nautilus,Nidalee,Lulu,Caitlyn,Braum,Maokai,Graves,Viktor,Lucian,Alistar,2016
0,1,Malphite,Rumble,Viktor,Ezreal,Bard,Nautilus,LeeSin,Lissandra,Lucian,Alistar,2016
1,0,Poppy,Gragas,Lissandra,Lucian,Braum,Graves,Elise,Zilean,Corki,Thresh,2016
0,1,Malphite,Elise,Gangplank,Lucian,Braum,Nautilus,Nidalee,Quinn,Corki,Thresh,2016
1,0,Nautilus,Nidalee,Corki,Caitlyn,Braum,Maokai,Gragas,Gangplank,Ezreal,Thresh,2016
0,1,Gangplank,Elise,Lissandra,Caitlyn,Braum,Quinn,LeeSin,Leblanc,Lucian,Alistar,2016
0,1,Nautilus,RekSai,Viktor,Lucian,Alistar,Rammus,Gragas,Corki,Kalista,Bard,2016
0,1,Quinn,Nidalee,Orianna,KogMaw,Nautilus,Fiora,Gragas,Lissandra,Lucian,Thresh,2016
0,1,Graves,Nidalee,Corki,Ezreal,Janna,Nautilus,LeeSin,Ahri,Caitlyn,Braum,2016
1,0,Rammus,Gragas,Viktor,Kalista,Thresh,Fiora,Elise,Ahri,Corki,Alistar,2016
1,0,Graves,LeeSin,Lissandra,Kalista,Braum,Nautilus,RekSai,Anivia,KogMaw,Alistar,2016
1,0,Nautilus,Nidalee,Quinn,Corki,TahmKench,Graves,Gragas,Viktor,Lucian,Thresh,2016
1,0,Rammus,LeeSin,Corki,Jhin,Braum,Fiora,Gragas,Viktor,Ezreal,Trundle,2016
1,0,Rammus,Gragas,Corki,Sivir,Janna,Nautilus,Elise,Quinn,Kalista,Braum,2016
0,1,Nautilus,Gragas,Gangplank,Ezreal,Alistar,Poppy,LeeSin,Corki,Lucian,Trundle,2016
0,1,Nasus,LeeSin,Azir,Kalista,Janna,Rammus,Gragas,Leblanc,Lucian,Bard,2016
0,1,Poppy,Elise,Corki,Lucian,Thresh,Gangplank,Gragas,Orianna,Kalista,Alistar,2016
1,0,Nautilus,Nidalee,Lulu,Ezreal,Thresh,Poppy,LeeSin,Azir,Kalista,Braum,2016
1,0,Trundle,Gragas,Karma,MissFortune,Morgana,Rammus,LeeSin,Leblanc,Sivir,Alistar,2016
0,1,Poppy,LeeSin,Corki,Jhin,Braum,Nautilus,Gragas,Gangplank,Kalista,Thresh,2016
0,1,Fiora,LeeSin,Zed,Corki,Nautilus,Rammus,Nidalee,Leblanc,Lucian,Thresh,2016
0,1,Rammus,Nidalee,Lissandra,Sivir,Trundle,Fiora,Elise,Leblanc,Lucian,Braum,2016
0,1,Graves,Sejuani,Azir,Sivir,Braum,Poppy,Gragas,Varus,Jhin,Thresh,2016
1,0,Trundle,Gragas,Lissandra,Ezreal,Alistar,Poppy,Elise,Azir,Lucian,Soraka,2016
